id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,dames,heren,junior,gadgets1,gadgets2,bike,travel,winter,"categorie",volgorde,actie,binnenkort,groeneprijs
24,"Lurex","Gift set girls","BREKKA","BREKKA_LUREX-GIFT-SET-GIRL_6911D52001.jpg","#","64,90","39","","",NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,"the_originals",73,NULL,NULL,1
25,"Lurex","Gift set woman","BREKKA","BREKKA_LUREX-GIFT-SET-WOMEN_6911D52002.jpg","#","74,90","49","","",NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,"the_originals",76,NULL,NULL,1
26,"Party glasses XMAS","","DOIY","DOIY_PARTY-GLASSES_2h41d52012_0303__03_be_Ver1.jpg","/doiy-gadget-party-glasses-xmas-2h41d52012?id_colour=5962","","8,95","","",NULL,NULL,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL,"the_originals",79,NULL,NULL,NULL
27,"Kerstballen","Set van 2","AYACUCHO","AYACUCHO-NAVY-1-02.jpg","/ayacucho-kerstballen-2h41d52002?id_colour=2296","","14,95","","",NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,"the_originals",62,NULL,NULL,NULL
28,"Kerstballen","Set van 4","AYACUCHO","AYACUCHO-RED9-02.jpg","/ayacucho-kerstballen-2h41d52004?id_colour=1594","","24,95","","",NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,"the_originals",63,NULL,NULL,NULL
29,"Fur Oorverwarmer","Meisjes","BARTS","BARTS_FUR-EARMUFFS_5661b90001_1010_01.jpg","#","","19,99","","",NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,1,"winter_wonderland",103,NULL,NULL,NULL
30,"Chalkboard maskers","","DOIY","DOIY_CHAKBOARD-MASKS_2H41D52015.jpg","/doiy-gadget-chalkboard-maskers-2h41d52015?id_colour=5962","","12,95","","",NULL,NULL,NULL,NULL,NULL,NULL,35,NULL,NULL,NULL,"the_originals",106,NULL,NULL,NULL
31,"Smartphone speaker 2.0","","LUCKIES","original_smartphone-speaker-two-0.jpg","/luckies-gadget-smartphone-speaker-2-0-2h61d52033?id_colour=3661","","29,95","","",NULL,NULL,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL,"the_originals",109,NULL,NULL,NULL
32,"HERO4","Silver actiecamera","GOPRO","GOPRO_HERO4-SILVER_2af1d40030_1515_10_Ver1.jpg","/gopro-hero4-silver-actiecamera-2e21d42002?id_colour=","369","299","","",NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,"h-tech_must_haves",112,NULL,NULL,NULL
33,"HERO4","Session actiecamera","GOPRO","Hero4Session_FRONT.jpg","/gopro-hero-4-session-actiecamera-2e21c52007?id_colour=4168","","329","","",NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,"h-tech_must_haves",115,NULL,NULL,NULL
34,"Compact 8x25 Verrekijker","","KITE OPTICS","KITE-OPTICS_COMPACT_2b13d32044_7000_01_be.jpg","/kite-optics-compact-8x25-verrekijker-2b13d32044?id_colour=4188","173","119","","",NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,"h-tech_must_haves",118,NULL,NULL,NULL
35,"Kodiak","Mini oplader","OUTDOOR TECH","OUTDOOR-TECH_KODIAK-MINI_2G32C52001_2.jpg","/outdoor-tech-kodiak-mini-oplader-2g32c52001?id_colour=2452","24,95","15","","",NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,"h-tech_must_haves",121,NULL,NULL,NULL
36,"Companion","Mes","MORA KNIVES","MORA-KNIVES_COMPANION_2821d10002_0101_01.jpg","/mora-companion-mes-2c11d52004?id_colour=3154","","12,50","#FF8813 #000000","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"h-tech_must_haves",124,NULL,NULL,NULL
37,"T2 ","Zaklamp","LED LENSER","LED-LENSER_T7_2521d40029_7070_01_be.jpg","/led-lenser-zaklamp-t2-2921d42029?id_colour=4168","49,95","35","","",NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,"h-tech_must_haves",133,NULL,NULL,NULL
38,"Shot flask","","KIKKERLAND","KIKKERLAND_SHOT-FLASK_2H51D52002_0101.jpg","/kikkerland-gadget-shot-flask-2h51d52002?id_colour=658","","19,95","","",NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,"h-tech_must_haves",136,NULL,NULL,NULL
39,"Rev","Multitool","LEATHERMAN","LEATHERMAN_REV_2C41D52002.jpg","/leatherman-rev-multitool-2c41d52002?id_colour=658","49,95","39","","",NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,"h-tech_must_haves",139,NULL,NULL,NULL
40,"Tikka + hoofdlamp","","PETZL","PETZL_TIKKA_2911C42005_4141.jpg","/petzl-tikka-hoofdlamp-2911c42005?id_colour=2296","39,95","29","","",NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,"h-tech_must_haves",142,NULL,NULL,NULL
41,"Ambit 3 peak Nepal","Limited edition sporthorloge","SUUNTO","Suunto_Ambit-3-peak-nepal-limited-edition_2523d52005_7070_01_be.jpg","/suunto-ambit-3-peak-nepal-limited-edition-sporthorloge-2523d52005?id_colour=4168","","349","","",NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,"h-tech_must_haves",145,NULL,NULL,NULL
42,"Sokken","Heren","BEN SHERMAN","BEN-SHERMAN_SOKKEN_4411D52002.jpg","/index.cfm/fuseaction/products.search/?searchvalue=BEN+SHERMAN+SOKKEN","","25","","Slechts",NULL,NULL,NULL,1,NULL,NULL,43,NULL,NULL,NULL,"his_gifts",148,NULL,NULL,NULL
43,"Sokken","Heren","BEN SHERMAN","BEN-SHERMAN_SOKKEN_7239.jpg","/index.cfm/fuseaction/products.search/?searchvalue=BEN+SHERMAN+SOKKEN","","25","","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"his_gifts",NULL,NULL,NULL,NULL
44,"Hemd","Heren","DSTREZZED","DSTREZZED_HEMD_4331D52233_4110.jpg","#","79,95","49","destrezzed_hemd_blauw.jpg","",NULL,NULL,NULL,3,NULL,NULL,3,NULL,NULL,NULL,"his_gifts",154,NULL,NULL,1
45,"Handschoenen","Heren","PME LEGEND","PME_HANDSCHOEN_4421D52009_6161.jpg","#","69,95","49","","",NULL,NULL,NULL,5,NULL,NULL,5,NULL,NULL,NULL,"his_gifts",160,NULL,NULL,1
46,"Pet","Heren","STETSON","STETSON_PET_4541d20005_7070_03.jpg","/stetson-pet-madison-4441d22004?id_colour=4168","","59","","Slechts",NULL,NULL,NULL,7,NULL,NULL,7,NULL,NULL,NULL,"his_gifts",163,NULL,NULL,NULL
47,"Actie win for life mini ","","BONGO","BONGO_BE.jpg","/index.cfm/fuseaction/products.search/?searchvalue=bongo&startWith=108","","49,9","","Vanaf",NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,"his_gifts",166,NULL,NULL,NULL
48,"Toilettas","Heren","CAMEL ACTIVE BAGS","CAMEL-ACTIVE_TOILETTAS_2351d42008_7171_01_be.jpg","/camel-active-bags-toilettas-2351d42008?id_colour=4246","27,95","19","","",NULL,NULL,NULL,9,NULL,NULL,11,NULL,NULL,NULL,"his_gifts",169,NULL,NULL,NULL
49,"Portefeuille","Heren","CAMEL ACTIVE BAGS","CAMEL-ACTIVE_PORTEFEUILLE_2392d52002_6161_01_be.jpg","/camel-active-bags-portefeuille-2392d52002?id_colour=3622","35,95","29","#4B362E","",NULL,NULL,NULL,11,NULL,NULL,13,NULL,NULL,NULL,"his_gifts",172,NULL,NULL,1
50,"Sneaker lab","Premium shoe care","GRAM SHOES","GRAM-SHOES_SNEAKER-KIT_2h51d52026_0101_02_be_Ver1.jpg","/sneaker-lab-gadget-sneaker-kit-4-pieces-2h51d52026?id_colour=5806","","19,95","","",NULL,NULL,NULL,13,NULL,NULL,15,NULL,NULL,NULL,"his_gifts",178,NULL,NULL,NULL
51,"Metal Retro Box","","NIVEA","NIVEA_RETROBOX-INHOUD.jpg","/nivea-metal-retrobox-2a11d52001?id_colour=5806","","19,95","","",NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,"his_gifts",181,NULL,NULL,NULL
52,"Scratchmap","","CRAENEN","CRAENEN_SCRATCH-MAP_2H51D52025.jpg","/craenen-gadget-scratchmap-2h51d52024?id_colour=5806","28,95","19","","",NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,"the_originals",187,NULL,NULL,NULL
53,"Thermosfles + Lipton","(nieuwe versie)","CONTIGO","onoff-contigo-0482.jpg","#","","29,95","","",NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,"the_originals",190,NULL,NULL,NULL
54,"Steely Dan Copper","Fotokoord","TRENDFORM","TRENDFORM_STELLY-DAN-COPPER_2H41D52030.jpg","/trendform-gadget-steely-dan-copper-fotokoord-2h41d52030?id_colour=4129","","7,95","","",NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,"the_originals",193,NULL,NULL,NULL
55,"Fixie","Pizzasnijder","DOIY","PIZZASNIJDER.jpg","/doiy-gadget-pizzasnijder-fixie-2h21c42024?id_colour=934","","17,95","","",NULL,NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,"the_originals",196,NULL,NULL,NULL
56,"4 Seasons ","double wall 0.3L Beker","PRIMUS","PRIMUS_BEKER_1421c50004_0101_01_be.jpg","/primus-4-seasons-double-wall-0-3l-beker-1421c50004?id_colour=5806","","9,95","","",NULL,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,"the_originals",199,NULL,NULL,NULL
57,"Clipper","Tele 3X lens","BLACKEYE","BLACKEYE_CLIPPER-TELE-3X_2H61D52039.jpg","#","","99,95","","",NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,"the_originals",65,NULL,NULL,NULL
58,"Clipper","Wide angle lens","BLACKEYE","BLACKEYE_CLIPPER-WIDE-ANGLE_2H61D52035.jpg","/black-eye-e-gadget-clipper-wide-angle-2h61c52008?id_colour=5806","","44,95","","",NULL,NULL,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL,"the_originals",86,NULL,NULL,NULL
59,"Fisheye 180° smartphone lens","","BLACKEYE","BLACKEYE_FISHEYE-180_2H61D52035.jpg","#","","29,95","","",NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,"the_originals",106,NULL,NULL,NULL
60,"Full-frame fisheye lens","","BLACKEYE","BLACKEYE_FULLFRAME-FISHEYE_2H61D52038.jpg","#","","54,95","","",NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,"the_originals",180,NULL,NULL,NULL
61,"Macro 20x smartphone lens","","BLACKEYE","BLACKEYE_MACRO-20X_2H61D52034.jpg","#","","29,95","","",NULL,NULL,NULL,NULL,NULL,NULL,48,NULL,NULL,NULL,"the_originals",210,NULL,NULL,NULL
62,"Wide angle + Macro 20x lens","","BLACKEYE","BLACKEYE_MACRO.jpg","#","","59,95","","",NULL,NULL,NULL,NULL,NULL,NULL,36,NULL,NULL,NULL,"the_originals",242,NULL,NULL,NULL
63,"Transloetje","","FATBOY","FATBOY_TRANSLOETJE_2h41d52040_2222__01_be.jpg","/index.cfm/fuseaction/products.search/?searchvalue=2h41d52040","","89,95","fatboy_1.jpg fatboy_2.jpg fatboy_3.jpg fatboy_4.jpg fatboy_5.jpg fatboy_6.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,"the_originals",60,NULL,NULL,NULL
64,"The ultimate storage Bag","Kids","PLAY&GO","PLAY&GO_STORAGE-BAG_2i21d52005_1032_02_be.jpg","/play-go-the-ultimate-storage-bag-2i21d52005?id_colour=285","","34,95","play-go_snor.jpg","",NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,"the_originals",235,NULL,NULL,NULL
65,"Home & body care","cadeauverpakking","LINDETREE","LINDETREE_HOME&BODY_2H41D52067_0101_2.jpg","#","","34,95","","",NULL,NULL,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL,"the_originals",241,NULL,NULL,NULL
66,"Home & body care","cadeauverpakking","LINDETREE","LINDETREE_HOME-CARE_2H41D52066_0101.jpg","#","","24,95","","",NULL,NULL,NULL,NULL,NULL,NULL,49,NULL,NULL,NULL,"the_originals",244,NULL,NULL,NULL
67,"Onesie","Heren","ESKIMO","ESKIMO_ONESIE-HEREN_4491D52006_02.jpg","#","79,95","59","","",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,"happy_dreams",247,NULL,NULL,1
