id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;gadgets;winter;fashion;outdoor;fietsenlopen;categorie;volgorde;actie;binnenkort;groeneprijs
35;Lurex;Gift set woman;BREKKA;BREKKA_LUREX-GIFT-SET-WOMEN_6911D52002.jpg;#;74,9;49;;;NULL;NULL;1;NULL;NULL;1;NULL;NULL;NULL;NULL;winter_wonderland;76;NULL;NULL;1
36;Party classes XMAS;;DOIY;DOIY_PARTY-GLASSES_2h41d52012_0303__03_be_Ver1.jpg;#;;8,95;;;NULL;NULL;1;1;1;NULL;NULL;NULL;NULL;NULL;around_the_world;79;NULL;NULL;NULL
37;Kerstballen;Set van 2;AYACUCHO;AYACUCHO-NAVY-1-02.jpg;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;82;NULL;NULL;NULL
38;Kerstballen;Set van 4;AYACUCHO;AYACUCHO-RED9-02.jpg;#;;24,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;85;NULL;NULL;NULL
44;Fur Oorverwarmer;Meisjes;BARTS;BARTS_FUR-EARMUFFS_5661b90001_1010_01.jpg;#;;19,99;;;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;winter_wonderland;103;NULL;NULL;NULL
45;Chalkboard maskers;;DOIY;DOIY_CHAKBOARD-MASKS_2H41D52015.jpg;#;;12,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;106;NULL;NULL;NULL
46;Smartphone speaker 2.0;;LUCKIES;original_smartphone-speaker-two-0.jpg;#;;29,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;109;NULL;NULL;NULL
47;HERO4;Silver actiecamera;GOPRO;GOPRO_HERO4-SILVER_2af1d40030_1515_10_Ver1.jpg;#;369;299;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;112;NULL;NULL;NULL
48;HERO4;Session actiecamera;GOPRO;Hero4Session_FRONT.jpg;#;;329;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;115;NULL;NULL;NULL
49;Compact 8x25 Verrekijker;;KITE OPTICS;KITE-OPTICS_COMPACT_2b13d32044_7000_01_be.jpg;#;173;119;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;118;NULL;NULL;NULL
50;Kodiak;Mini oplader;OUTDOOR TECH;OUTDOOR-TECH_KODIAK-MINI_2G32C52001_2.jpg;#;24,95;15;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;121;NULL;NULL;NULL
51;Companion;Mes;MORA KNIVES;MORA-KNIVES_COMPANION_2821d10002_0101_01.jpg;#;;12,5;#FF8813 #000000;Slechts;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;around_the_world;124;NULL;NULL;NULL
54;T2 ;Zaklamp;LED LENSER;LED-LENSER_T7_2521d40029_7070_01_be.jpg;#;49,95;35;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;around_the_world;133;NULL;NULL;NULL
55;Shot flask;;KIKKERLAND;KIKKERLAND_SHOT-FLASK_2H51D52002_0101.jpg;#;;19,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;136;NULL;NULL;NULL
