id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;gadgets;winter;fashion;outdoor;fietsenlopen;categorie;volgorde;actie;binnenkort;groeneprijs
148;Express Pocket;100ML Onderhoud;TOKO;TOKO_EXPRESS-POCKET_5h51d20011_0101_01.jpg;/toko-express-pocket-100-ml-onderhoud-7581d22011?id_colour=5806;;9,95;;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;394;NULL;NULL;NULL
151;3 Feet;zool;SIDAS;SIDAS_358791_358791_1.jpg;#;;39,95;;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;403;NULL;NULL;NULL
152;Radius;Skimasker;SINNER;SINNER_RADIUS_7421d52005_7026_01_be.jpg;/sinner-radius-skimasker-7421d52005?id_colour=4130;59,99;35;;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;winter_wonderland;406;NULL;NULL;NULL
153;Everyday;Scoop top dames;ICEBREAKER;ICEBREAKER_SCOOP_3511D42018_5252.jpg;#;69,95;45;#000000;;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;1;snow_essentials;409;NULL;NULL;1
155;Everyday;Crew heren;ICEBREAKER;ICEBREAKER_CREW_3531D32001_7070.jpg;#;69,95;45;#616162;;NULL;NULL;NULL;1;NULL;NULL;1;NULL;NULL;1;snow_essentials;415;NULL;NULL;1
157;Penguin;Slaapzak;AYACUCHO;AYACUCHO_PENGUIN_1322D52001_1070.jpg;#;;39,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;h-tech_must_haves;421;NULL;NULL;NULL
158;Rolling thunder;Trolley;THE NORTH FACE;THE-NORTH-FACE_ROLLING-THUNDER_2231D42018_5170_04.jpg;#;259,95;199;;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;around_the_world;424;NULL;NULL;NULL
159;Pivot;21L Daypak;DAKINE;DAKINE_PIVOT.jpg;/dakine-pivot-21l-daypack-2111d40137?id_colour=6321;44,95;29;dikine_black-red.jpg;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;around_the_world;427;NULL;NULL;NULL
161;Muv micro;Wereldstekker;SKROSS;SKROOS_MICRO_2aa1c50001_1010_01_be.jpg;#;;24,95;;;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;1;NULL;around_the_world;433;NULL;NULL;NULL
162;Pack-it ;Specter compression cube set;EAGLE CREEK;EAGLE-CREEK_COMPRESSION-CUBE.jpg;#;44,95;29;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;around_the_world;436;NULL;NULL;NULL
163;Cube set;;EAGLE CREEK;cubeset.jpg;#;39,95;25;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;around_the_world;439;NULL;NULL;NULL
166;Tranzshell S;;EASTPAK;EASTPAK_TRANZSHELL-S_2261C60001_3232.jpg;#;;159,95;EASTPAK_zwart.jpg EASTPAK_palm.jpg;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;around_the_world;448;NULL;NULL;NULL
169;Tranzshell M;;EASTPAK;EASTPAK_TRANZSHELL-M_2231C60001_7011.jpg;#;;179,95;EASTPAK_zwart.jpg EASTPAK_rood.jpg;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;around_the_world;457;NULL;NULL;NULL
170;Tranzshell L;;EASTPAK;EASTPAK_TRANZSHELL-L_2231C60002_7070.jpg;#;;199,95;EASTPAK_palm.jpg EASTPAK_rood.JPG;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;around_the_world;460;NULL;NULL;NULL
173;Here;Small;PALOMAR;PALOMAR_HERE_2h51d52023_1073__01_be_Ver1.jpg;#;;24,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;around_the_world;469;NULL;NULL;NULL
174;Pacific 780;;THULE;Thule_Pacific_780_Glossy_P_side_0.jpg;#;369,95;289;;;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;around_the_world;472;NULL;NULL;NULL
175;Faux fur ;Dames cable muts;BARTS;BARTS_FAUX-FUR-CABLE_5571d30001_1010_01_Ver1.jpg;/barts-fur-cable-dames-6517d32001?id_colour=268;;34,99;;;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;winter_wonderland;10;NULL;NULL;1
176;Star;Fietstas;BASIL;BASIL_STAR_A513C52009_3510.jpg;#;42,99;29;BASIL_GROEN.jpg;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;10;NULL;NULL;NULL
177;Rattan;Fietsmand;BASIL;BASIL_RATTAN_7516c40003_6262_01.jpg;#;37,95;25;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;10;NULL;NULL;NULL
178;Gratis verzending;NULL;NULL;gratis_verzending_nl.jpg;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;h-tech_must_haves;159;1;NULL;NULL
179;groene-prijs;NULL;NULL;groene_prijs.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;h-tech_must_haves;255;1;NULL;NULL
180;M400;Hartslagmeter;POLAR;POLAR_M400_2453d40002_7070_02.jpg;#;NULL;149;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;deals_for_wheels;10;NULL;NULL;NULL
181;Edge touring plus;Fietsgps;GARMIN;edge_touring-plus.jpg;NULL;NULL;229;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;around_the_world;10;NULL;NULL;NULL
182;Kado;NULL;NULL;kado_nl.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;h-tech_must_haves;272;1;NULL;NULL
183;One curve;dames jas ;O'NEILL;6163d42047_3535_04_be.jpg;/o-neill-jas-curve-6163d42047?id_colour=1828;199;139;#000000;NULL;NULL;NULL;1;NULL;NULL;NULL;1;1;NULL;NULL;h-tech_must_haves;275;NULL;NULL;NULL
184;Hubble;jongens jas;O'NEILL;6483d52019_4203__03_be.jpg;/o-neill-jas-hubble-6483d52019?id_colour=2420;99,99;69;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;1;NULL;NULL;h-tech_must_haves;274;NULL;NULL;NULL
185;Jewel;meisjes jas;O'NEILL;6383d52012_3535_03_be.jpg;/o-neill-jas-jewel-6383d52012?id_colour=1828;99,99;69;#000000 #C3D394;NULL;NULL;NULL;NULL;NULL;1;NULL;1;1;NULL;NULL;h-tech_must_haves;273;NULL;NULL;NULL
186;Cheque;NULL;NULL;cheque_nl.jpg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;h-tech_must_haves;10;1;NULL;NULL
187;Assortiment drone;NULL;PARROT;parrot_drones.jpg;#;NULL;99,95;NULL;vanaf;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;the_originals;10;NULL;NULL;NULL
188;Garden;20L Daypack;DAKINE;DAKINE_GARDEN.jpg;/dakine-garden-pack-20l-daypack-2111c20040?id_colour=2920;49,95;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;h-tech_must_haves;428;NULL;NULL;NULL
189;Spork kit;Light my fire;LIGHTMYFIRE;sporkkit.jpg;#;22,95;15;#EC63A0 #000000 #EE732F #FFEA00 #70B62B;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;around_the_world;10;NULL;NULL;NULL
190;Extra cold;Winter handschoenen;SEALSKINZ;sealskins_handschoenen.jpg;#;59,95;35;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;deals_for_wheels;10;NULL;NULL;NULL
191;Dina;hoofdband;BARTS;DINA_BARTS.jpg;/barts-hoofdband-dina-6718d52001?id_colour=3232;NULL;16,99;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;NULL;h-tech_must_haves;10;NULL;NULL;NULL
